,score,extract,type
402,0.9642857142857143,sibelius,same
403,0.6512820512820513,sibelius,other
404,0.9642857142857143,bach,same
405,0.6923076923076923,bach,other
406,0.8275862068965517,mozart,same
407,0.5567010309278351,mozart,other
408,0.9310344827586207,glazounov,same
409,0.6804123711340206,glazounov,other
410,0.7837837837837838,free,same
411,0.7526881720430108,free,other
412,0.8837209302325582,gamme,same
413,0.7111111111111111,gamme,other
414,0.7847533632286996,Mix,same
415,,Mix,other
416,0.9310344827586207,tchai,same
417,0.6958762886597938,tchai,other
418,0.8928571428571429,sibelius,same
419,0.7384615384615385,sibelius,other
420,0.9285714285714286,bach,same
421,0.7435897435897436,bach,other
422,0.7931034482758621,mozart,same
423,0.6391752577319587,mozart,other
424,0.9310344827586207,glazounov,same
425,0.7525773195876289,glazounov,other
426,0.6756756756756757,free,same
427,0.7419354838709677,free,other
428,0.7441860465116279,gamme,same
429,0.75,gamme,other
430,0.8609865470852018,Mix,same
431,,Mix,other
432,0.9310344827586207,tchai,same
433,0.6237113402061856,tchai,other
434,0.8518518518518519,sibelius,same
435,0.7040816326530612,sibelius,other
436,0.9285714285714286,bach,same
437,0.6153846153846154,bach,other
438,0.7241379310344828,mozart,same
439,0.5927835051546392,mozart,other
440,0.8275862068965517,glazounov,same
441,0.7061855670103093,glazounov,other
442,0.8108108108108109,free,same
443,0.7258064516129032,free,other
444,0.7727272727272727,gamme,same
445,0.6759776536312849,gamme,other
446,0.7085201793721974,Mix,same
447,,Mix,other
448,0.9310344827586207,tchai,same
449,0.6597938144329897,tchai,other
450,0.7142857142857143,sibelius,same
451,0.3641025641025641,sibelius,other
452,0.8571428571428571,bach,same
453,0.6461538461538462,bach,other
454,0.9310344827586207,mozart,same
455,0.6288659793814433,mozart,other
456,0.896551724137931,glazounov,same
457,0.6958762886597938,glazounov,other
458,0.7837837837837838,free,same
459,0.6397849462365591,free,other
460,0.9767441860465116,gamme,same
461,0.6777777777777778,gamme,other
462,0.8340807174887892,Mix,same
463,,Mix,other
464,1.0,tchai,same
465,0.7268041237113402,tchai,other
466,0.9259259259259259,sibelius,same
467,0.6632653061224489,sibelius,other
468,0.9285714285714286,bach,same
469,0.6358974358974359,bach,other
470,0.7931034482758621,mozart,same
471,0.6391752577319587,mozart,other
472,0.9655172413793104,glazounov,same
473,0.7525773195876289,glazounov,other
474,0.6756756756756757,free,same
